slope1,slope2,slope3,t1,t2,t3,std_dev,sample_entropy,label
1.09715,-2.28573,0.66361,111,77,64,22.144081,0.659973,1
0.182958,0.207413,0.17788,27,241,229,19.047308,0.697568,0
0.770649,-1.223252,0.30907,163,87,68,22.946501,0.446525,1
0.70263,-3.324638,2.954415,235,22,44,38.666394,1.212856,1
0.235018,-0.399531,1.487019,189,22,82,10.991881,0.090415,0
0.290608,-0.42528,1.57097,101,122,153,6.479818,0.827473,0
0.457737,4.009143,0.846192,225,74,48,32.082155,1.623623,1
0.10203,-1.390836,1.749365,278,56,67,8.787163,0.936209,0
0.17052,2.350742,0.256177,179,19,175,16.909533,1.626787,0
0.102433,0.172175,0.144846,96,147,209,11.653264,0.714547,0
1.090103,-0.170329,2.601597,185,38,187,13.648484,0.095412,0
0.309354,-0.432113,0.981713,151,23,75,10.127598,0.185351,0
0.124773,0.164209,0.10498,61,239,243,16.191668,0.057558,0
0.969148,-2.717829,0.973689,175,83,60,30.846716,1.518004,1
